OBJECTID,PIC,Facility_Name,Facility_Address,City,STATE,ZIP_Code,Operational_Designation,Source,Full_Address,Confidence,Low_Income,longitude,latitude
3984,5085,RANCH MARKET,1340 W NORTHGRAND AVE,PORTERVILLE,CALIFORNIA,93257,Service Station or Gas Station,ARB,,,,-119.04775607578215,36.09839394832221
3985,3833,CAPRI LIQUORS # 451,101 W PERKINS AVE,MCFARLAND,CALIFORNIA,93250,Service Station or Gas Station,ARB,,,YES,-119.22931026975303,35.68158050923336
3986,9166,PRINCE FOOD MART,250 E TERRA BELLA AVE,PIXLEY,CALIFORNIA,93256,Service Station or Gas Station,ARB,,,YES,-119.2894732427958,35.96439179874271
3987,8877,JOE'S WESTSIDE MARKET INC.,22388 AVENUE 152,PORTERVILLE,CALIFORNIA,93257,Service Station or Gas Station,ARB,,,,-119.07118441512851,36.065879084752154
3988,5092,8 & 10 MARKET,261 S LEGGETT ST,PORTERVILLE,CALIFORNIA,93257,Service Station or Gas Station,ARB,,,,-118.99960597323692,36.0609475443938
3989,5086,BOBS TINY MART & GASCO,1391 E SPRINGVILLE AVE,PORTERVILLE,CALIFORNIA,93257,Service Station or Gas Station,ARB,,,,-118.98630991227246,36.054912920794806
3990,5088,POPIAR MINI MART,19227 AVENUE 144,PORTERVILLE,CALIFORNIA,93257,Service Station or Gas Station,ARB,,,YES,-119.14241618995501,36.051182067998184
3991,5087,"SHERWOOD HANDY MARKET, INC",1907 W MORTON AVE,PORTERVILLE,CALIFORNIA,93257,Service Station or Gas Station,ARB,,,,-119.05979428557762,36.073039800746336
3992,13115,PORTERVILLE AMPM,700 S JAYE ST,PORTERVILLE,CALIFORNIA,93257,Service Station or Gas Station,ARB,,,YES,-119.02618546868428,36.05332371441813
3993,5089,APPLEGATE MARKET,212 N NEWCOMB ST,PORTERVILLE,CALIFORNIA,93257,Service Station or Gas Station,ARB,,,YES,-119.05289455643852,36.069766957379336
3994,11927,OMEGA HANDY MARKET,769 E DATE AVE,PORTERVILLE,CALIFORNIA,93257,Service Station or Gas Station,ARB,,,,-119.00023746188918,36.058413609201
3995,11483,SANTA BARBARA PISTACHIO CO,3380 HIGHWAY 33,MARICOPA,CALIFORNIA,93252,Service Station or Gas Station,ARB,,,,-119.41823606624136,35.0270054794195
3996,12046,NS MINI MART,951 W TEAPOT DOME AVE,PORTERVILLE,CALIFORNIA,93257,Service Station or Gas Station,ARB,,,YES,-119.03828628568337,36.02216688199622
3997,8822,SHOP N SAVE MKT,1206 W WESTFIELD AVE,PORTERVILLE,CALIFORNIA,93257,Service Station or Gas Station,ARB,,,,-119.04427601332722,36.0876545115467
3998,11959,HARI'S MARKET,814 E DATE AVE,PORTERVILLE,CALIFORNIA,93257,Service Station or Gas Station,ARB,,,,-118.99900745822747,36.05851954304263
3999,11020,TOWN & COUNTRY GAS,1310 W OLIVE AVE,PORTERVILLE,CALIFORNIA,93257,Service Station or Gas Station,ARB,,,YES,-119.04622975539881,36.0659652640859
4000,9465,EXPRESS MART & GAS,1060 W OLIVE AVE,PORTERVILLE,CALIFORNIA,93257,Service Station or Gas Station,ARB,,,YES,-119.04136485840132,36.06602297268225
4001,8776,BR's Food Store,284 W OLIVE AVE,PORTERVILLE,CALIFORNIA,93257,Service Station or Gas Station,ARB,,,YES,-119.02329438662652,36.065353782651165
4002,5107,Henderson Chevron,957 W HENDERSON AVE,PORTERVILLE,CALIFORNIA,93257,Service Station or Gas Station,ARB,,,YES,-119.04073398218739,36.08032910900142
4003,11080,FRIENDLY LIQUOR,814 W OLIVE AVE,PORTERVILLE,CALIFORNIA,93257,Service Station or Gas Station,ARB,,,,-119.03563722108069,36.0660636193408
4004,5094,SIERRA MINIT MART #1,30 N NEWCOMB ST,PORTERVILLE,CALIFORNIA,93257,Service Station or Gas Station,ARB,,,YES,-119.05291618333506,36.06641156344308
